item_id,title,tags,genres,specs,developer,publisher,release_year,sentiment
i_00013,Postal III,Action|Dark Humor|Gore|Open World|Third-Person Shooter|Funny|Violent|Third Person|Comedy|Shooter|Singleplayer|Sandbox|Mature|Adventure|Nudity|FPS|Great Soundtrack|Indie|Story Rich|First-Person,Action,Single-player|Steam Achievements,Trashmasters,Akella,2011,Mostly Negative
i_00014,Runespell: Overture,Card Game|RPG|Indie|Casual|Adventure|Fantasy|Singleplayer,Adventure|Indie|RPG,Single-player|Steam Achievements|Steam Cloud|Stats|Steam Leaderboards,Mystic Box,Mystic Box,2011,Mostly Positive
i_00015,Dead Mountaineer's Hotel,Adventure|Point & Click,Adventure,Single-player,Electronic Paradise,Akella,2009,Mostly Negative
i_00016,A Stroke of Fate: Operation Valkyrie,Adventure|Point & Click,Adventure,Single-player,SPLine,Akella,2009,Mixed
i_00017,Vertex Dispenser,Strategy|Action|Indie,Action|Indie|Strategy,Single-player|Multi-player|Co-op|Cross-Platform Multiplayer|Steam Achievements|Steam Cloud|Stats,Michael Brough,Michael Brough,2011,7 user reviews
i_00018,PT Boats: Knights of the Sea,Simulation,Simulation,Single-player|Multi-player,Studio4,Akella,2009,Mixed
i_00019,Kingdoms of Amalur: Reckoning™,RPG|Fantasy|Open World|Singleplayer|Action RPG|Action|Adventure|Third Person|Loot|Story Rich|Magic|Character Customization|Hack and Slash|Exploration|Sandbox|Controller|Crafting|Atmospheric|Female Protagonist|Great Soundtrack,Action|RPG,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud,"Big Huge Games,38 Studios","38 Studios, Electronic Arts",2012,Very Positive
i_00020,Kingdoms of Amalur: Reckoning - Legend of Dead Kel,RPG|Action,Action|RPG,Single-player|Downloadable Content|Steam Achievements|Partial Controller Support|Steam Cloud,"Big Huge Games,38 Studios","38 Studios, Electronic Arts",2012,Positive
i_00021,Kingdoms of Amalur: Reckoning - Teeth of Naros,RPG|Action,Action|RPG,Single-player|Downloadable Content|Steam Achievements|Partial Controller Support|Steam Cloud,"Big Huge Games,38 Studios","38 Studios, Electronic Arts",2012,Positive
i_00022,PT Boats: South Gambit,Simulation|Naval,Simulation,Single-player|Multi-player,studio4,Akella,2010,Mostly Negative
i_00023,Orcs Must Die!,Tower Defense|Action|Strategy|Third Person|Indie|Fantasy|Singleplayer|Comedy|Third-Person Shooter|Funny|Cartoony|Magic|Score Attack|Great Soundtrack|Shooter|Multiplayer|RPG|Adventure|Arcade|Co-op,Action|Indie|Strategy,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Stats|Steam Leaderboards,Robot Entertainment,Robot Entertainment,2011,Overwhelmingly Positive
i_00024,Orcs Must Die! - Artifacts of Power,Strategy|Action|Indie,Action|Indie|Strategy,Single-player|Downloadable Content|Steam Achievements|Partial Controller Support|Stats|Steam Leaderboards,Robot Entertainment,Robot Entertainment,2011,Positive
i_00025,Orcs Must Die! - Lost Adventures,Indie|Strategy|Action,Action|Indie|Strategy,Single-player|Downloadable Content,Robot Entertainment,Robot Entertainment,2011,Positive
i_00026,Disciples III: Reincarnation,RPG|Turn-Based Strategy|Strategy|Turn-Based|Fantasy|Dark Fantasy|Singleplayer|Multiplayer|Gothic,RPG|Strategy,Single-player|Multi-player,Akella,bitComposer Games,2014,Mixed
i_00027,A.V.A. Alliance of Valiant Arms™,Free to Play|FPS|Action|Multiplayer|Shooter|Zombies|First-Person|Co-op|Massively Multiplayer|Singleplayer|Online Co-Op|Survival|Adventure|Open World|Strategy|Funny|Military|Gore|Horror|Controller,Action|Free to Play,Multi-player|Online Multi-Player|Co-op|Online Co-op|Steam Achievements|Steam Trading Cards,Red Duck Inc.,En Masse Entertainment,2011,Mixed
i_00028,Gatling Gears,Action|Adventure|Indie|Twin Stick Shooter|Co-op|Steampunk,Action|Adventure|Indie,Single-player|Multi-player|Co-op|Shared/Split Screen|Steam Achievements|Steam Trading Cards|Partial Controller Support|Steam Cloud|Steam Leaderboards,Vanguard Games,Vanguard Games,2011,Very Positive
i_00029,Shank 2,Action|Beat 'em up|Indie|Adventure|2D|Local Co-Op|Side Scroller|Platformer|Co-op|Gore|Hack and Slash|Stylized|Mature|Shooter|Controller|Singleplayer|Difficult,Action|Adventure|Indie,Single-player|Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Steam Leaderboards,Klei Entertainment,Klei Entertainment,2012,Very Positive
i_00030,Warp,Action|Adventure|Indie|Puzzle|Stealth|Aliens,Action|Adventure|Indie,Single-player|Partial Controller Support,Trapdoor Inc.,Electronic Arts,2012,Mostly Positive
i_00031,iBomber Defense,Strategy|Tower Defense|Indie|Casual,Indie|Strategy,Single-player|Steam Achievements|Steam Cloud,Cobra Mobile,Cobra Mobile,2011,Mostly Positive
i_00032,Storm in a Teacup,Indie|Casual|Platformer,Casual|Indie,Single-player|Steam Achievements,Cobra Mobile,Cobra Mobile,2012,Very Positive
i_00033,BEEP,Indie|Platformer|Adventure|Puzzle|Singleplayer|Physics|2D|Action|Strategy|Shoot 'Em Up|Great Soundtrack|Difficult|Casual|Anime|Shooter|Family Friendly|Sci-fi|Exploration|Open World|Comedy,Adventure|Indie,Single-player|Steam Trading Cards,Big Fat Alien,Big Fat Alien,2011,Very Positive
i_00034,The Club™,Action|Third-Person Shooter,Action,Single-player|Multi-player|Partial Controller Support,Bizarre Creations,SEGA,2008,Mixed
i_00035,Portal 2 - The Final Hours,Documentary|Singleplayer,,Single-player,Geoff Keighley,Geoff Keighley,2011,Very Positive
i_00036,Super MNC,Free to Play|Action|Multiplayer|MOBA|Shooter|Third-Person Shooter|Strategy|Funny|Indie|Sports|Competitive|Character Customization|Massively Multiplayer|Co-op|Third Person|First-Person|Comedy|Adventure|Class-Based|Singleplayer,Free to Play|Action|Strategy|Indie|Sports,Multi-player|Partial Controller Support|Stats|Steam Leaderboards,Uber Entertainment,Uber Entertainment,2012,Mixed
i_00037,ORION: Prelude,Dinosaurs|Action|FPS|Multiplayer|Online Co-Op|Co-op|Shooter|Indie|Adventure|Open World|Sci-fi|First-Person|Team-Based|Third-Person Shooter|Singleplayer|Mechs|PvP|Strategy|Third Person|Rogue-like,Action|Adventure|Indie|RPG,Single-player|Multi-player|Online Multi-Player|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Steam Workshop|Valve Anti-Cheat enabled|Stats|Steam Leaderboards|Includes level editor,"Trek Industries, Inc","Trek Industries, Inc",2013,Mostly Positive
i_00038,Empire: Total War™,Strategy|Historical|Military|Grand Strategy|Turn-Based Strategy|War|Tactical|RTS|Multiplayer|Singleplayer|Turn-Based|America|Naval|Great Soundtrack|Action|Turn-Based Tactics|Real Time Tactics|Atmospheric|Adventure|Classic,Strategy,Single-player|Multi-player|Steam Achievements|Steam Trading Cards|Stats,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009,Very Positive
i_00039,A New Beginning - Final Cut,Adventure|Point & Click|Indie|Sci-fi|Post-apocalyptic|Hand-drawn|Singleplayer|Puzzle|Female Protagonist|Story Rich|2D,Adventure|Indie,Single-player|Steam Achievements,Daedalic Entertainment,Daedalic Entertainment,2012,Mostly Positive
i_00040,Lume,Adventure|Indie|Point & Click|Casual|Puzzle|Short|Female Protagonist|Singleplayer,Adventure|Casual|Indie,Single-player,State of Play Games,State of Play Games,2011,Mixed
i_00041,Beijing 2008™ - The Official Video Game of the Olympic Games,Sports,Sports,Single-player|Multi-player|Partial Controller Support,Eurocom,SEGA,2008,
i_00042,Critical Mass,Casual|Indie|Puzzle|Singleplayer|Match 3,Casual|Indie,Single-player|Steam Achievements,Manic Game Studios,Manic Game Studios,2011,Very Positive
i_00043,Ms. Splosion Man,Indie|Action|Platformer|Female Protagonist|Co-op|Local Co-Op|Comedy,Action|Indie,Single-player|Multi-player|Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Partial Controller Support|Steam Cloud|Steam Leaderboards,Twisted Pixel Games,Microsoft Studios,2013,Very Positive
i_00044,Age of Empires® III: Complete Collection,Strategy|RTS|Base Building|Historical|Multiplayer|Resource Management|City Builder|War|Simulation|Real-Time|Singleplayer|Classic|Military|Building|Open World|Action|Co-op|Real-Time with Pause|Adventure|Online Co-Op,Simulation|Strategy,Single-player|Multi-player|Steam Trading Cards,Ensemble Studios,Microsoft Studios,2009,Very Positive
i_00045,Terraria,Sandbox|Adventure|Survival|2D|Multiplayer|Crafting|Building|Exploration|Pixel Graphics|Co-op|Indie|Open World|Action|RPG|Online Co-Op|Singleplayer|Platformer|Replay Value|Atmospheric|Family Friendly,Action|Adventure|Indie|RPG,Single-player|Multi-player|Online Multi-Player|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud,Re-Logic,Re-Logic,2011,Overwhelmingly Positive
i_00046,Tobe's Vertical Adventure,Indie|Action|Adventure|Platformer|Local Co-Op|Retro,Action|Adventure|Indie,Single-player|Shared/Split Screen|Steam Achievements|Partial Controller Support|Steam Cloud|Steam Leaderboards,Secret Base,Secret Base,2011,Mostly Positive
i_00047,PixelJunk™ Eden,Casual|Indie|Platformer|Great Soundtrack|Action|Atmospheric|Music|Colorful|Singleplayer|2D|Relaxing|Pixel Graphics,Action|Casual|Indie,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Steam Leaderboards,Q-Games Ltd.,Q-Games Ltd.,2012,Very Positive
i_00048,Pixeljunk Eden Soundtrack,Indie|Casual,Casual|Indie,Single-player|Downloadable Content,Q-Games Ltd.,,2012,
i_00049,Empire: Total War™ - Special Forces Units & Bonus Content,Strategy,Strategy,Single-player|Downloadable Content|Stats,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009,Positive
i_00050,Empire: Total War™ - Elite Units of the West,Strategy,Strategy,Single-player|Multi-player|Downloadable Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009,Mostly Positive
i_00051,Empire: Total War™ - The Warpath Campaign,Strategy,Strategy,Single-player|Multi-player|Downloadable Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009,Mostly Positive
i_00052,Empire: Total War™ - Elite Units of America,Strategy,Strategy,Single-player|Multi-player|Downloadable Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009,Mostly Positive
i_00053,Empire: Total War™ - Elite Units of the East,Strategy,Strategy,Single-player|Multi-player|Downloadable Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2010,Positive
i_00054,Aliens vs. Predator™,Action|FPS|Aliens|Sci-fi|Multiplayer|Horror|Shooter|Singleplayer|First-Person|Stealth|Gore|Survival|Atmospheric|Co-op|Survival Horror|Hunting|Blood|Adventure|Online Co-Op|Strategy,Action,Single-player|Multi-player|Co-op|Steam Achievements|Steam Cloud|Stats|Steam Leaderboards,Rebellion,SEGA,2010,Very Positive
i_00055,Aliens vs. Predator Swarm Map Pack,Action,Action,Single-player|Multi-player|Co-op|Downloadable Content|Steam Achievements|Steam Cloud|Stats|Steam Leaderboards,Rebellion,SEGA,2010,Mostly Positive
i_00056,Aliens vs Predator™ Bughunt Map Pack,Action,Action,Single-player|Multi-player|Co-op|Downloadable Content|Steam Achievements|Steam Cloud|Stats|Steam Leaderboards,Rebellion,SEGA,2010,Mixed
i_00057,Bastion,Great Soundtrack|Indie|Action|Narration|Singleplayer|RPG|Hack and Slash|Story Rich|Dynamic Narration|Isometric|Adventure|Action RPG|Fantasy|Atmospheric|Colorful|Post-apocalyptic|Twin Stick Shooter|2D|Controller|Music,Action|Indie|RPG,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Steam Leaderboards,Supergiant Games,Warner Bros. Interactive Entertainment,2011,Overwhelmingly Positive
i_00058,Bastion: Original Soundtrack,Action|Indie|Soundtrack|Music|Great Soundtrack,Action|Indie,Single-player|Downloadable Content,Supergiant Games,Warner Bros. Interactive Entertainment,2011,Very Positive
i_00059,Space Pirates and Zombies,Space|Action|Indie|Sci-fi|Strategy|Top-Down|RPG|Zombies|Procedural Generation|Singleplayer|Open World|2D|Pirates|Exploration|Shooter|Sandbox|Adventure|RTS,Action|Indie|RPG|Strategy,Single-player|Steam Achievements|Steam Trading Cards|Steam Cloud|Stats,MinMax Games Ltd.,MinMax Games Ltd.,2011,Very Positive
i_00060,Breath of Death VII,RPG|Indie|Comedy|JRPG|Retro|Pixel Graphics|Singleplayer|Turn-Based|Parody|Funny|Short|Fantasy|Adventure|2D|RPGMaker|Horror,RPG|Indie,Single-player|Full controller support,Zeboyd Games,Zeboyd Games,2011,Very Positive
i_00061,Cthulhu Saves the World,RPG|Indie|Comedy|Lovecraftian|Retro|JRPG|Turn-Based|Fantasy|Funny|Singleplayer|Adventure|Pixel Graphics|Parody|2D|Great Soundtrack|RPGMaker|Action|Memes,Indie|RPG,Single-player|Full controller support|Steam Trading Cards,Zeboyd Games,Zeboyd Games,2011,Very Positive
i_00062,Arma 3,Simulation|Military|Multiplayer|Realistic|Open World|Tactical|Action|FPS|War|Strategy|Sandbox|Shooter|Co-op|Moddable|Team-Based|Online Co-Op|Third-Person Shooter|Singleplayer|First-Person|TrackIR,Action|Simulation|Strategy,Single-player|Multi-player|Online Multi-Player|Local Multi-Player|Co-op|Online Co-op|Local Co-op|Steam Achievements|Steam Trading Cards|Captions available|Steam Workshop|Partial Controller Support|Steam Leaderboards|Includes level editor,Bohemia Interactive,Bohemia Interactive,2013,Very Positive
i_00063,Rochard,Platformer|Indie|Action|Puzzle|Physics|Sci-fi|Casual|Singleplayer|Puzzle-Platformer|2D|Side Scroller|Great Soundtrack|Adventure|2.5D|Space,Action|Indie|Casual,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud,Recoil Games,,2011,Very Positive
i_00064,Rochard: Hard Times,Casual|Action|Indie|Platformer,Action|Indie|Casual,Single-player|Downloadable Content|Steam Achievements|Partial Controller Support|Steam Cloud,Recoil Games,Recoil Games,2013,Positive
i_00065,Starpoint Gemini,RPG|Simulation|Space|Sci-fi,RPG|Simulation,Single-player,Little Green Men Games,Iceberg Interactive,2012,Mostly Negative
i_00066,Ticket to Ride,Board Game|Strategy|Casual|Multiplayer|Turn-Based|Trains|Family Friendly|Indie|Singleplayer|Touch-Friendly,Casual|Indie|Strategy,Single-player|Multi-player|Online Multi-Player|Local Multi-Player|Shared/Split Screen|Cross-Platform Multiplayer|Steam Achievements|Steam Turn Notifications,Days of Wonder,"Days of Wonder, Asmodee Digital",2012,Very Positive
i_00067,Memoir '44 Online,Strategy|Board Game|Casual|Simulation|World War II|Tactical|Free to Play|Military|Turn-Based|Multiplayer,Casual|Simulation|Strategy,Single-player|Multi-player|Steam Achievements,Days of Wonder,"Days of Wonder, Asmodee Digital",2011,Mixed
i_00068,Ticket to Ride - Europe,Strategy|Indie|Casual,Casual|Indie|Strategy,Single-player|Multi-player|Shared/Split Screen|Cross-Platform Multiplayer|Downloadable Content|Steam Achievements|Steam Turn Notifications,Days of Wonder,"Days of Wonder, Asmodee Digital",2012,9 user reviews
i_00069,Ticket to Ride - Switzerland,Strategy|Indie|Casual,Casual|Indie|Strategy,Single-player|Multi-player|Shared/Split Screen|Cross-Platform Multiplayer|Downloadable Content|Steam Achievements|Steam Turn Notifications,Days of Wonder,"Days of Wonder, Asmodee Digital",2012,4 user reviews
i_00070,Ticket to Ride - USA 1910,Strategy|Indie|Casual,Casual|Indie|Strategy,Single-player|Multi-player|Shared/Split Screen|Cross-Platform Multiplayer|Downloadable Content|Steam Achievements|Steam Turn Notifications,Days of Wonder,"Days of Wonder, Asmodee Digital",2012,3 user reviews
i_00071,Ticket to Ride - Legendary Asia,Strategy|Indie|Casual|Board Game,Casual|Indie|Strategy,Single-player|Multi-player|Shared/Split Screen|Downloadable Content|Steam Achievements|Steam Turn Notifications,Days of Wonder,"Days of Wonder, Asmodee Digital",2012,1 user reviews
i_00072,Vessel,Puzzle|Indie|Platformer|Steampunk|Action|Physics|Strategy|Singleplayer|Puzzle-Platformer|Adventure|2D|Sci-fi|Great Soundtrack,Action|Indie|Strategy,Single-player|Steam Achievements|Full controller support,Strange Loop Games,IndiePub,2012,Very Positive
i_00073,Project Zomboid,Early Access|Survival|Zombies|Open World|Sandbox|Indie|Multiplayer|Simulation|RPG|Post-apocalyptic|Crafting|Co-op|Building|Survival Horror|Isometric|Singleplayer|2D|Realistic|Adventure|Real-Time with Pause,Indie|RPG|Simulation|Early Access,Single-player|Multi-player|Co-op|Shared/Split Screen|Cross-Platform Multiplayer|Steam Trading Cards|Partial Controller Support,The Indie Stone,The Indie Stone,2013,Very Positive
i_00074,Death Rally,Racing|Action|Remake|Arcade|Top-Down,Action|Racing,Single-player|Multi-player|Co-op,"Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd.",Remedy Entertainment Ltd.,2012,Mostly Positive
i_00075,Alan Wake,Action|Horror|Adventure|Third Person|Story Rich|Atmospheric|Singleplayer|Psychological Horror|Thriller|Great Soundtrack|Episodic|Mystery|Third-Person Shooter|Dark|Cinematic|Supernatural|Narration|Survival Horror|Shooter|Survival,Action|Adventure,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud,Remedy Entertainment,Remedy Entertainment,2012,Very Positive
i_00076,Alan Wake Collector's Edition Extras,Action|Adventure,Action|Adventure,Single-player|Downloadable Content,Remedy Entertainment,Remedy Entertainment,2012,Very Positive
i_00077,Crysis 2 - Maximum Edition,Action|FPS|Sci-fi|Shooter|Stealth|Multiplayer|Singleplayer|First-Person|Aliens|Futuristic|Benchmark|Great Soundtrack|Adventure|Atmospheric|Story Rich|Cyberpunk|3D Vision|Open World|Survival|RPG,Action,Single-player|Partial Controller Support,Crytek Studios,Electronic Arts,2011,Very Positive
i_00078,Legend of Fae,Indie|Casual|Female Protagonist|Match 3|Puzzle|Fantasy|RPG,Casual|Indie,Single-player,Endlessfluff Games,Endlessfluff Games,2011,Very Positive
i_00079,Fowl Space,Action|Indie|Memes,Action|Indie,Single-player,Pixelante Game Studios,Pixelante Game Studios,2012,Mixed
i_00080,Neverwinter,Free to Play|MMORPG|RPG|Massively Multiplayer|Adventure|Action|Fantasy|Multiplayer|Open World|Character Customization|Co-op|PvP|Dragons|Third Person|Action RPG|PvE|Atmospheric|Hack and Slash|Zombies|Comedy,Action|Adventure|Free to Play|Massively Multiplayer|RPG,Multi-player|MMO|Co-op|Steam Trading Cards|In-App Purchases|Includes level editor,Cryptic Studios,Perfect World Entertainment,2013,Mostly Positive
i_00081,Achron,Strategy|Indie|Time Travel|RTS|Multiplayer|Time Manipulation|Sci-fi|Moddable,Indie|Strategy,Single-player|Multi-player,Hazardous Software Inc.,Hazardous Software Inc.,2011,Mixed
i_00082,Achron Soundtrack,Indie,Indie,Single-player|Downloadable Content,Hazardous Software Inc.,Hazardous Software Inc.,2011,
i_00083,TrackMania Nations Forever,Racing|Free to Play|Multiplayer|Singleplayer|Level Editor|Arcade|Simulation|Massively Multiplayer|Competitive|Action|Controller|Difficult|Adventure|Sandbox|Sports|First-Person|Co-op|Casual|Open World|Indie,Racing,Single-player|Multi-player|Includes level editor,Nadeo,Ubisoft,2008,Very Positive
i_00084,Sherlock Holmes - Nemesis,Adventure|RPG|Point & Click|Detective|Mystery|Puzzle,Adventure|RPG,Single-player,Frogwares,Frogwares,2008,Mostly Positive
i_00085,inMomentum,Racing|Indie|Parkour|Fast-Paced|First-Person|Multiplayer|Platformer,Indie|Racing,Single-player|Multi-player|Steam Achievements|Steam Cloud|Steam Leaderboards,Digital Arrow,White Rabbit Interactive,2011,Very Positive
i_00086,Dracula Origin,Adventure|Point & Click|Vampire|Puzzle,Adventure,Single-player,Frogwares,Frogwares,2008,Mixed
i_00087,Data Jammers: FastForward,Action|Indie|Arcade,Action|Indie,Single-player|Steam Achievements|Partial Controller Support,Digital Eel,Digital Eel,2011,Mixed
i_00088,Astro Tripper,Indie|Action|Shoot 'Em Up|Arcade|Shooter,Action|Indie,Single-player|Steam Achievements|Partial Controller Support|Steam Leaderboards,PomPom,Pom Pom Games,2011,Mixed
i_00089,Alien Zombie Megadeath,Action|Indie|Arcade,Action|Indie,Single-player|Shared/Split Screen|Steam Achievements|Partial Controller Support|Steam Leaderboards,PomPom,Pom Pom Games,2011,Positive
i_00090,Mutant Storm: Reloaded,Indie|Action|Twin Stick Shooter|Arcade,Action|Indie,Single-player|Co-op|Shared/Split Screen|Full controller support,PomPom Games,PomPom Games,2012,Mixed
i_00091,L.A. Noire,Detective|Crime|Open World|Noir|Adventure|Story Rich|Third Person|Mystery|Action|Cinematic|Singleplayer|Atmospheric|Investigation|Mature|Nudity|Strategy|Puzzle|Third-Person Shooter|3D Vision|RPG,Adventure|Strategy,Single-player|Steam Achievements|Partial Controller Support,"Team Bondi,Rockstar Leeds",Rockstar Games,2011,Very Positive
i_00092,L.A. Noire: DLC Bundle,Adventure|Strategy|Detective|Open World|Noir|Singleplayer,Adventure|Strategy,Single-player|Downloadable Content|Steam Achievements,"Team Bondi,Rockstar Leeds",Rockstar Games,2011,Very Positive
i_00093,The Clockwork Man,Casual|Indie|Hidden Object|Steampunk|Puzzle|Point & Click,Indie|Casual,Single-player,Total Eclipse,Total Eclipse,2011,Mixed
i_00094,The Clockwork Man: The Hidden World,Adventure|Casual|Indie|Hidden Object|Point & Click,Adventure|Casual|Indie,Single-player,Total Eclipse P.C.,Total Eclipse P.C.,2011,Mixed
i_00095,Snuggle Truck,Casual|Racing|Indie|Driving|Singleplayer|Level Editor,Casual|Indie|Racing,Single-player|Steam Achievements|Steam Trading Cards|Partial Controller Support|Steam Leaderboards|Includes level editor,Owlchemy Labs,Owlchemy Labs,2012,Very Positive
i_00096,Sherlock Holmes: The Mystery of the Mummy,Adventure|Point & Click|Detective|Mystery|First-Person,Adventure,Single-player,Frogwares,Frogwares,2008,Mostly Negative
i_00097,Smash Cars,Racing|Sports|Action,Action|Racing|Sports,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Steam Leaderboards,Creat Studios Inc,,2011,Mixed
i_00098,Sherlock Holmes: The Awakened - Remastered Edition,Adventure|Lovecraftian|Point & Click|Detective|Mystery|First-Person|Horror,Adventure,Single-player,Frogwares,Frogwares,2008,Mostly Positive
i_00099,Bunch of Heroes,Action|Indie|Co-op|Shooter|Multiplayer,Action|Indie,Single-player|Multi-player|Co-op|Steam Achievements|Partial Controller Support|Steam Leaderboards,NGD Studios,NGD Studios,2011,Mixed
i_00100,Bunch of Heroes: Horror Pack,Action|Indie,Action|Indie,Single-player|Multi-player|Co-op|Downloadable Content|Steam Achievements|Partial Controller Support|Steam Leaderboards,NGD Studios,NGD Studios,2011,1 user reviews
i_00101,Bunch of Heroes: Holiday Pack (Free DLC),Action|Indie,Action|Indie,Single-player|Multi-player|Co-op|Downloadable Content|Steam Achievements|Partial Controller Support|Steam Leaderboards,NGD Studios,NGD Studios,2011,5 user reviews
i_00102,Sherlock Holmes: The Silver Earring,Adventure|Point & Click|Detective|Mystery,Adventure,Single-player,Frogwares,Frogwares,2004,Mixed
i_00103,Serious Sam Double D XXL,Action|Indie|Platformer|Comedy|Shooter|2D|Local Co-Op|Gore,Action|Indie,Single-player|Local Co-op|Steam Achievements|Partial Controller Support,Mommy's Best Games,"Devolver Digital, Croteam",2011,Very Positive
i_00104,Blocks That Matter,Indie|Puzzle|Platformer|Casual|2D|Puzzle-Platformer|Singleplayer|Robots,Casual|Indie,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Workshop|Steam Cloud|Includes level editor,Swing Swing Submarine,,2011,Very Positive
i_00105,Sherlock Holmes versus Jack the Ripper,Adventure|Point & Click|Detective|Mystery|RPG|Puzzle,Adventure|RPG,Single-player,Frogwares,Frogwares,2009,Mostly Positive
i_00106,Guardians of Middle-earth,MOBA|Strategy|Action|Co-op|Multiplayer|Fantasy,Action|Strategy,Single-player|Multi-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Stats|Steam Leaderboards,Zombie Studios,Warner Bros. Interactive Entertainment,2013,Mostly Negative
i_00107,Guardians of Middle-earth: Smaug's Treasure,Strategy|Action,Action|Strategy,Single-player|Multi-player|Downloadable Content|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Stats|Steam Leaderboards,Zombie Studios,Warner Bros. Interactive Entertainment,2013,
